id,name,location_lat,location_lng,SW,NE,categoryIdOfVenue,categoryTypeName
5919d6cae1f0aa603aac1eeb,Efe's Kebab & Burger,55.623107999999995,12.484689,"55.6213190157,12.4816833016","55.6231156849,12.4848653079",4bf58dd8d48988d16e941735,Fast Food Restaurant
4c7ac611dbaa76b070c8234b,Løjtehus Restaurant,55.6228519637,12.621812883699999,"55.6213190157,12.6191396727","55.6231156849,12.6223216790",4bf58dd8d48988d1c6941735,Scandinavian Restaurant
4c5c4dda85a1e21e76405611,Mors Crib,55.6223,12.623281,"55.6213190157,12.6220033471","55.6231156849,12.6251853534",4bf58dd8d48988d10c941735,French Restaurant
593a47646a59504d3237e7f7,Lagkagehuset Vallensbæk,55.62395,12.387994,"55.6229360180,12.3871827552","55.6247326871,12.3903648928",4bf58dd8d48988d16a941735,Bakery
59303ea4cf72a063b33dc825,Yobi Sushi,55.624026,12.388592,"55.6229360180,12.3871827552","55.6247326871,12.3903648928",4bf58dd8d48988d1c4941735,Restaurant
4c585050b7a31b8d6d3852da,Bagel King,55.623803,12.387637495999998,"55.6229360180,12.3871827552","55.6247326871,12.3903648928",4bf58dd8d48988d179941735,Bagel Shop
4c8d3801ed3ab60c31a26e21,Restaurant Wallenz Pizzaria,55.6238526454,12.387828615799998,"55.6229360180,12.3871827552","55.6247326871,12.3903648928",4bf58dd8d48988d1ca941735,Pizza Place
557844cd498e4c5e760c28fb,Expressen1 Pizzeria & Grill,55.624001016099996,12.387868302000001,"55.6229360180,12.3871827552","55.6247326871,12.3903648928",4f04af1f2fb6e1c99f3db0bb,Turkish Restaurant
54c7958e498ef486aa082b4f,Acozinha ApS,55.6232181159,12.391942441500001,"55.6229360180,12.3900465477","55.6247326871,12.3932286853",52e81612bcbc57f1066b79f4,Buffet
504619c1e4b09303cb85d164,hyggekrogen,55.624370575,12.4336910248,"55.6229360180,12.4330034357","55.6247326871,12.4361855733",4bf58dd8d48988d1c7941735,Snack Place
57e00f3c498ed5ed8f524a4d,Burger & Shawarma,55.62314,12.484655,"55.6229360180,12.4816879088","55.6247326871,12.4848700463",4bf58dd8d48988d16c941735,Burger Joint
59df93013b4e007253e91464,Absolut. Bar,55.624538,12.573115,"55.6229360180,12.5704654773","55.6247326871,12.5736476148",4bf58dd8d48988d11a941735,Other Nightlife
4e0da48518a8bf9784c458cf,La Maison,55.62409558270001,12.6044222334,"55.6229360180,12.6019671951","55.6247326871,12.6051493327",4bf58dd8d48988d1ca941735,Pizza Place
